id,name,collection,team,country,role,aim,hs,movement,aggression,acs,gamesense
78,Jamppi,Base Card,no_team,fi,initiator,67.38,64.09,75.47,70.26,74.10,65.51
79,sociablEE,Base Card,no_team,tr,flex,77.85,71.33,76.51,73.37,76.55,71.94
80,PROFEK,Base Card,no_team,pl,controller,61.19,62.88,68.63,53.48,76.65,70.05
81,LewN,Base Card,no_team,tr,duelist,80.43,71.25,76.59,78.57,67.61,52.67
82,MAGNUM,Base Card,no_team,cz,sentinel,71.95,80.51,68.95,54.99,64.17,71.10
83,Hermes,Base Card,no_team,kr,flex,70.25,65.25,69.88,67.79,70.12,67.51
84,Shao,Base Card,no_team,united_nations,initiator,67.39,62.50,75.28,69.09,74.24,86.87
85,Ruxic,Base Card,no_team,tr,controller,72.09,74.43,79.80,62.59,86.68,66.47
86,hiro,Base Card,no_team,tr,sentinel,74.80,82.67,73.47,57.09,69.66,77.56
87,MrFalin,Base Card,no_team,tr,initiator,63.41,59.43,69.18,67.98,73.40,81.21
88,xeus,Base Card,no_team,tr,duelist,83.34,76.18,79.46,79.98,69.06,50.55
89,yetujey,Base Card,no_team,tr,sentinel,73.46,80.97,70.45,58.32,68.66,62.50
90,AtaKaptan,Base Card,no_team,tr,controller,62.39,62.64,67.43,51.28,77.06,81.29
91,qRaxs,Base Card,no_team,tr,flex,73.96,70.94,70.95,67.14,71.80,69.77
92,Saadhak,Base Card,no_team,ar,flex,72.10,66.15,71.04,64.84,70.95,82.74
93,Avez,Base Card,no_team,eg,initiator,69.00,68.09,79.62,74.78,76.25,68.92
94,Elite,Base Card,no_team,tr,sentinel,78.26,83.72,72.93,57.82,69.52,76.27
95,SUYGETSU,Base Card,no_team,united_nations,controller,69.21,69.10,73.98,57.36,84.44,93.54
96,marteen,Base Card,no_team,cz,duelist,80.45,71.67,76.84,77.97,63.57,50.72
97,Sayf,Base Card,no_team,se,flex,73.59,69.76,73.16,70.77,72.42,71.27
98,Derke,Base Card,no_team,fi,duelist,90.10,77.83,86.18,82.70,71.57,66.84
99,Kicks,Base Card,no_team,ee,controller,59.84,58.58,68.71,50.51,73.06,82.82
100,CyvOph,Base Card,no_team,fr,controller,60.10,62.05,68.59,50.36,72.68,84.17
101,Less,Base Card,no_team,br,sentinel,82.36,93.57,80.29,65.20,77.15,69.59
102,Cloud,Base Card,no_team,ru,initiator,69.70,67.23,75.14,72.14,77.88,73.41
103,grubinho,Base Card,no_team,pl,controller,62.73,62.33,69.82,51.30,78.08,83.38
104,westside,Base Card,no_team,pl,sentinel,78.83,84.17,73.21,58.27,69.35,66.13
105,Flickless,Base Card,no_team,be,flex,76.08,73.32,74.54,71.00,75.85,74.74
106,ara,Base Card,no_team,ro,duelist,80.24,70.78,73.23,72.37,62.22,48.19
107,flyuh,Base Card,no_team,us,initiator,66.93,62.83,75.40,70.77,77.35,64.88
108,nataNk,Base Card,no_team,fr,flex,67.80,62.31,68.46,63.68,68.49,64.00
109,baddyG,Base Card,no_team,pl,controller,61.30,61.20,67.29,50.50,77.74,82.79
110,MONSTEERR,Base Card,no_team,cz,sentinel,76.76,82.17,69.94,57.57,66.32,73.82
111,Filu,Base Card,no_team,pl,duelist,81.55,72.77,79.93,75.58,67.31,51.46
112,Proxh,Base Card,no_team,tr,controller,63.44,61.33,69.76,51.24,76.70,86.08
113,Veqaj,Base Card,no_team,fr,initiator,71.10,64.61,76.92,73.18,77.46,74.03
114,ComeBack,Base Card,no_team,tr,duelist,81.13,73.70,79.65,77.15,66.12,50.36
115,Minny,Base Card,no_team,cz,sentinel,73.54,82.84,72.45,56.67,67.32,76.64
116,kamyk,Base Card,no_team,pl,flex,73.65,68.99,73.60,70.92,74.01,69.69
117,nobody,Base Card,no_team,cn,initiator,71.33,68.61,77.85,74.61,78.90,86.29
118,ZmjjKK,Base Card,no_team,cn,duelist,91.37,78.94,83.52,84.29,74.05,70.28
119,CHICHOO,Base Card,no_team,cn,sentinel,77.01,83.68,74.99,59.66,72.19,77.97
120,Smoggy,Base Card,no_team,cn,controller,77.66,76.09,83.18,66.28,91.77,57.20
121,S1Mon,Base Card,no_team,cn,flex,69.92,69.98,73.10,68.41,73.58,70.13
122,whzy,Base Card,no_team,cn,duelist,86.62,76.60,79.31,83.05,69.71,54.55
123,Levius,Base Card,no_team,cn,sentinel,67.15,70.56,62.71,52.12,59.19,60.66
124,rushia,Base Card,no_team,cn,controller,58.16,58.11,66.22,50.41,71.67,80.18
125,nephh,Base Card,no_team,cn,initiator,63.55,62.63,72.45,67.95,70.92,63.51
126,Knight,Base Card,no_team,cn,flex,73.26,72.34,73.59,70.45,76.17,71.04
127,Haodong,Base Card,no_team,cn,controller,61.36,60.89,67.08,50.45,76.65,83.27
128,Abo,Base Card,no_team,cn,sentinel,76.43,81.05,71.94,58.84,67.94,61.23
129,Rb,Base Card,no_team,kr,flex,73.72,73.70,75.83,70.67,73.88,65.91
130,TvirusLuke,Base Card,no_team,tw,duelist,76.83,67.61,75.32,74.94,62.14,46.80
131,LuoK1ng,Base Card,no_team,cn,controller,67.15,65.94,73.93,55.54,79.15,71.10
132,Kai,Base Card,no_team,cn,duelist,76.38,66.02,70.85,70.08,61.86,56.14
133,FengF,Base Card,no_team,cn,sentinel,72.27,79.20,66.40,54.51,63.56,63.19
134,HeyBay,Base Card,no_team,hk,sentinel,72.72,81.14,68.33,54.64,66.05,62.78
135,Biank,Base Card,no_team,cn,initiator,55.95,51.79,62.26,58.48,62.30,83.56
136,Scales,Base Card,no_team,cn,controller,56.65,56.20,62.22,50.81,70.27,75.36
137,Ninebody,Base Card,no_team,cn,duelist,83.45,72.17,79.42,79.22,68.08,51.06
138,zjc,Base Card,no_team,cn,sentinel,71.67,79.45,69.40,53.51,62.25,70.99
139,Viva,Base Card,no_team,cn,initiator,64.50,62.11,72.58,67.32,71.09,70.99
140,Midi,Base Card,no_team,cn,flex,68.53,63.98,68.25,63.02,67.52,66.10
141,Rarga,Base Card,no_team,ru,duelist,80.52,74.69,78.31,79.33,67.69,52.20
142,happywei,Base Card,no_team,tw,sentinel,76.49,83.60,74.24,59.17,71.04,74.53
143,coconut,Base Card,no_team,hk,controller,71.59,73.63,81.95,63.98,88.48,52.45
144,MarT1n,Base Card,no_team,cn,sentinel,71.97,81.03,71.64,56.39,67.51,46.81
145,Nicc,Base Card,no_team,tw,initiator,65.40,64.82,73.28,70.17,72.63,74.22
146,Flex1n,Base Card,no_team,cn,controller,64.78,65.61,70.32,53.90,80.48,74.17
147,vo0kashu,Base Card,no_team,ru,sentinel,75.74,86.21,71.75,58.47,68.60,64.86
148,Cangshu,Base Card,no_team,tw,flex,68.65,68.42,72.44,67.90,69.28,82.84
149,Akeman,Base Card,no_team,cn,flex,76.70,74.02,78.04,73.33,76.27,69.48
150,SpiritZ1,Base Card,no_team,tw,duelist,82.72,76.03,80.38,79.12,69.17,53.64
151,SiuFatBB,Base Card,no_team,hk,initiator,70.16,63.60,77.70,72.49,74.43,88.17
152,Yuicaw,Base Card,no_team,tw,flex,74.30,70.82,71.49,70.24,73.46,81.63
153,Spring,Base Card,no_team,tw,controller,73.02,75.00,81.89,62.01,89.66,67.03
154,Lysoar,Base Card,no_team,cn,sentinel,73.49,80.99,69.77,55.83,66.03,74.89
155,Juicy,Base Card,no_team,sg,duelist,78.75,69.90,74.10,74.77,64.50,47.76
156,o0o0o,Base Card,no_team,cn,initiator,67.82,66.07,74.30,70.65,75.92,66.93
157,OBONE,Base Card,no_team,cn,sentinel,62.17,70.00,60.09,49.62,56.90,67.28
158,BerliN,Base Card,no_team,tw,flex,74.03,70.16,72.01,67.60,74.69,67.70
159,Autumn,Base Card,no_team,au,sentinel,77.65,84.66,72.85,58.81,70.10,64.54
160,Life,Base Card,no_team,cn,duelist,82.78,77.19,77.15,79.81,67.88,53.28
161,AAAAY,Base Card,no_team,cn,initiator,71.61,67.53,79.76,76.53,76.45,66.14
162,yosemite,Base Card,no_team,cn,controller,56.67,59.62,65.25,51.27,70.55,76.40
163,player,Base Card,no_team,cn,flex,73.50,70.29,71.34,68.30,70.64,63.61
164,XiYiJi,Base Card,no_team,cn,flex,58.98,56.66,58.20,58.01,58.37,69.35
165,deLb,Base Card,no_team,id,initiator,68.94,65.62,77.40,71.47,76.47,61.63
166,HanChe,Base Card,no_team,tw,sentinel,78.68,84.48,75.32,60.29,73.47,58.58
167,Crazyguy,Base Card,no_team,vn,flex,71.11,67.81,73.62,69.51,69.93,83.82
168,Monyet,Base Card,no_team,id,controller,70.38,72.00,76.95,58.93,83.42,68.81
169,xffero,Base Card,no_team,id,sentinel,74.35,79.75,69.97,55.51,66.11,71.21
170,Jemkin,Base Card,no_team,ru,duelist,85.29,74.78,77.98,80.22,66.40,53.78
171,Kushy,Base Card,no_team,id,initiator,69.09,65.55,79.35,73.23,76.01,73.84
172,MaKo,Base Card,no_team,kr,controller,63.77,67.04,71.64,53.26,79.48,86.46
173,free1ng,Base Card,no_team,kr,initiator,72.71,66.48,77.19,77.03,78.22,66.06
174,HYUNMIN,Base Card,no_team,kr,duelist,80.88,72.85,79.99,78.92,68.47,49.57
175,Estrella,Base Card,no_team,kr,flex,76.15,71.33,73.21,71.29,76.89,69.37
176,BeYN,Base Card,no_team,kr,sentinel,69.25,76.42,64.85,51.24,63.09,66.35
177,Munchkin,Base Card,no_team,kr,flex,73.75,69.77,74.64,70.14,75.64,74.61
178,Foxy9,Base Card,no_team,kr,sentinel,72.10,81.42,68.62,55.54,67.33,66.34
179,Ash,Base Card,no_team,kr,initiator,70.88,69.88,79.20,75.12,79.54,66.76
180,t3xture,Base Card,no_team,kr,duelist,85.51,78.17,81.19,81.83,69.38,72.92
181,Suggest,Base Card,no_team,kr,sentinel,64.28,69.58,60.76,51.95,57.93,62.94
182,Karon,Base Card,no_team,kr,controller,67.71,68.66,75.30,55.05,85.83,89.26
183,UdoTan,Base Card,no_team,kr,duelist,76.87,66.52,69.94,72.90,62.58,47.57
184,Kr1stal,Base Card,no_team,ru,initiator,66.91,63.33,72.76,68.47,72.88,71.94
185,PapiChulo,Base Card,no_team,ph,controller,59.26,59.67,66.09,50.23,72.50,78.20
186,Ban,Base Card,no_team,kr,sentinel,74.18,79.66,70.89,55.00,65.14,75.33
187,yoman,Base Card,no_team,kr,flex,67.75,65.92,68.61,66.09,69.69,66.74
188,Deryeon,Base Card,no_team,sg,sentinel,70.83,76.88,66.67,51.16,64.27,69.53
189,invy,Base Card,no_team,sg,sentinel,76.37,83.25,74.55,58.27,69.36,70.56
190,Wild0reoo,Base Card,no_team,ph,flex,74.38,69.53,72.41,67.81,73.38,67.36
191,Persia,Base Card,no_team,kr,controller,59.50,57.64,65.18,50.37,71.79,80.26
192,Francis,Base Card,no_team,kr,flex,68.94,64.75,66.20,62.79,66.46,70.98
193,margaret,Base Card,no_team,kr,sentinel,72.53,77.74,68.95,54.29,64.60,70.85
194,Dambi,Base Card,no_team,kr,duelist,74.91,65.26,70.00,69.34,60.80,46.46
195,Ivy,Base Card,no_team,kr,initiator,68.43,62.57,74.25,71.65,72.55,63.53
196,Crws,Base Card,no_team,th,flex,68.24,64.67,68.41,65.40,67.42,66.99
197,Killua,Base Card,no_team,th,flex,70.84,68.19,73.07,68.67,73.63,69.91
198,thyy,Base Card,no_team,th,controller,60.46,63.39,67.43,50.11,78.55,85.73
199,JitBoys,Base Card,no_team,th,sentinel,76.68,84.11,73.52,57.51,67.38,74.21
200,primmie,Base Card,no_team,th,duelist,81.10,75.84,78.81,79.90,68.57,50.01
201,Surf,Base Card,no_team,th,initiator,72.02,65.89,78.29,74.33,77.40,66.15
202,stax,Base Card,no_team,kr,initiator,69.00,65.37,75.42,73.35,75.18,80.87
203,Meteor,Base Card,no_team,kr,sentinel,81.40,86.27,76.82,62.07,73.42,53.09
204,Sylvan,Base Card,no_team,kr,controller,62.59,62.78,71.33,54.04,78.69,74.51
205,BuZz,Base Card,no_team,kr,duelist,83.21,74.00,79.19,79.22,66.08,67.54
206,DH,Base Card,no_team,kr,sentinel,75.41,83.07,72.00,58.09,68.33,69.40
207,iZu,Base Card,no_team,kr,flex,76.84,74.77,77.91,74.04,76.78,72.97
208,carpe,Base Card,no_team,kr,controller,60.69,61.18,66.42,53.38,73.17,74.72
209,PatMen,Base Card,no_team,ph,initiator,73.51,68.68,79.55,75.57,79.76,70.67
210,Jinggg,Base Card,no_team,sg,duelist,83.79,73.81,79.44,78.64,65.63,51.04
211,f0rsakeN,Base Card,no_team,id,flex,81.77,77.40,81.55,81.26,82.71,80.41
212,d4v41,Base Card,no_team,my,sentinel,78.66,84.61,73.75,59.41,70.79,78.75
213,something,Base Card,no_team,ru,duelist,82.93,76.37,79.76,80.41,68.52,54.06
214,mindfreak,Base Card,no_team,id,controller,60.16,59.66,64.32,50.72,73.66,78.73
215,TenTen,Base Card,no_team,kr,duelist,75.42,68.04,72.71,72.56,59.71,46.66
216,SugarZ3ro,Base Card,no_team,jp,controller,60.56,61.32,71.02,51.65,75.82,84.00
217,CLZ,Base Card,no_team,jp,sentinel,72.30,76.52,66.55,54.12,64.75,71.19
218,Xdll,Base Card,no_team,jp,flex,71.89,67.99,71.30,67.14,71.12,66.74
219,Meiy,Base Card,no_team,jp,duelist,77.03,69.97,72.65,72.81,65.27,49.14
220,Art,Base Card,no_team,jp,flex,62.33,59.01,61.79,61.48,61.87,61.22
221,Jinboong,Base Card,no_team,kr,sentinel,76.96,84.70,69.84,56.49,69.16,73.84
222,Akame,Base Card,no_team,kr,initiator,65.59,61.27,74.54,70.71,74.45,74.69
223,gyen,Base Card,no_team,jp,controller,69.90,69.80,77.97,59.41,84.16,62.62
224,SSeS,Base Card,no_team,jp,controller,52.92,51.92,58.73,46.67,66.40,82.14
225,dos9,Base Card,no_team,kz,controller,61.18,59.51,68.76,50.92,73.79,79.89
226,Famouz,Base Card,no_team,id,duelist,74.12,67.84,73.36,72.67,61.94,45.65
227,Shiro,Base Card,no_team,id,initiator,63.78,61.85,73.14,68.35,69.82,70.16
228,NcSlasher,Base Card,no_team,id,flex,72.14,66.37,71.76,66.32,72.37,65.82
229,BerserX,Base Card,no_team,id,sentinel,73.09,82.45,68.73,55.64,65.76,63.36
230,KovaQ,Base Card,no_team,ch,flex,72.28,70.63,73.07,72.64,73.67,68.68
231,UNFAKE,Base Card,no_team,pl,initiator,68.30,64.41,74.22,71.30,71.98,62.34
232,RgLMeister,Base Card,no_team,br,controller,50.34,50.26,53.96,50.26,60.74,64.72
233,maestr0,Base Card,no_team,br,duelist,63.32,58.11,63.38,62.24,53.79,45.78
234,prozin,Base Card,no_team,br,flex,57.15,54.95,57.78,54.18,58.19,56.58
235,gaabxx,Base Card,no_team,br,initiator,52.11,50.58,59.05,55.26,56.01,50.58
236,frz,Base Card,no_team,br,sentinel,60.60,66.11,58.29,51.69,54.70,61.22
237,lucks,Base Card,no_team,br,sentinel,54.80,58.25,52.99,49.61,49.61,59.09
238,deNaro,Base Card,no_team,br,initiator,54.75,50.58,58.38,55.88,59.24,51.86
239,Brinks,Base Card,no_team,br,controller,51.61,49.60,55.13,49.60,61.45,67.11
240,forbanz,Base Card,no_team,br,duelist,69.41,62.83,64.35,63.15,55.73,45.46
241,Askia,Base Card,no_team,br,flex,67.19,66.21,68.37,65.89,69.03,66.33
242,mwzera,Base Card,no_team,br,initiator,67.09,66.37,75.70,71.49,73.86,64.18
243,ambitioN,Base Card,no_team,br,duelist,66.60,63.98,65.49,67.49,56.00,45.14
244,mazin,Base Card,no_team,br,flex,63.78,58.68,62.31,60.75,64.19,59.18
245,jzz,Base Card,no_team,br,sentinel,62.51,69.63,62.18,51.21,58.99,63.50
246,GuhRVN,Base Card,no_team,br,controller,52.32,49.88,55.15,49.42,61.44,68.60
247,shion,Base Card,no_team,br,initiator,55.58,50.72,60.94,58.82,60.73,51.46
248,liazzi,Base Card,no_team,br,flex,57.12,56.23,57.90,56.04,58.31,56.32
249,sw,Base Card,no_team,br,controller,51.12,49.72,56.33,49.72,63.24,66.49
250,tkzin,Base Card,no_team,br,duelist,70.49,63.76,63.36,65.74,55.07,44.82
251,pollo,Base Card,no_team,br,sentinel,65.45,73.02,60.29,51.16,59.37,62.99
252,Loss,Base Card,no_team,br,duelist,68.67,65.21,66.78,66.83,57.77,55.24
253,skz,Base Card,no_team,br,flex,61.73,59.61,60.63,58.98,61.35,58.18
254,above,Base Card,no_team,br,controller,55.56,56.35,61.18,53.19,69.20,63.33
255,swag,Base Card,no_team,br,sentinel,59.28,65.55,56.07,52.88,53.82,46.20
256,desire,Base Card,no_team,br,initiator,57.88,56.97,64.70,60.31,66.09,55.45
257,demek,Base Card,no_team,pl,duelist,65.45,57.65,59.21,61.55,53.07,45.26
258,Guardy,Base Card,no_team,es,initiator,55.82,52.01,62.34,60.63,63.48,54.06
259,globeX,Base Card,no_team,eu,controller,51.44,50.57,57.03,50.11,60.53,66.60
260,pika,Base Card,no_team,ar,initiator,54.34,53.54,59.51,58.54,60.74,53.59
261,ZachKappa,Base Card,no_team,eu,duelist,68.15,62.07,63.05,63.98,57.13,45.63
262,Fit1nho,Base Card,no_team,es,flex,70.64,68.12,71.88,65.37,72.51,67.62
263,Vorwenn,Base Card,no_team,es,initiator,52.35,50.22,57.56,56.59,59.13,65.54
264,Saiz,Base Card,no_team,es,sentinel,64.57,73.91,62.39,53.34,58.02,51.64
265,krejzzs,Base Card,no_team,pl,duelist,69.98,63.60,67.50,69.18,57.84,46.59
266,lowel,Base Card,no_team,es,controller,52.06,51.91,55.91,51.30,62.74,62.45
267,hoody,Base Card,no_team,fi,flex,61.18,58.99,61.91,57.74,63.49,57.69
268,YaBoiLewis,Base Card,no_team,wales,initiator,56.53,53.76,62.25,60.14,62.10,54.09
269,Mistic,Base Card,no_team,gb,controller,56.69,56.75,65.73,50.17,72.67,80.15
270,al0rante,Base Card,no_team,de,sentinel,61.67,68.65,58.91,50.87,55.17,63.65
271,xuss,Base Card,no_team,pl,duelist,68.43,63.38,66.12,64.49,54.25,45.38
272,Unfair,Base Card,no_team,de,initiator,61.41,58.42,66.81,65.24,67.26,59.34
273,Kuba,Base Card,no_team,de,initiator,57.05,54.47,63.89,57.90,61.66,53.52
274,iluri,Base Card,no_team,fi,initiator,58.12,55.65,63.88,60.85,63.24,55.08
275,bipo,Base Card,no_team,it,duelist,67.92,62.55,64.20,66.79,54.51,45.50
276,Lime,Base Card,no_team,gb,flex,64.04,59.96,64.72,60.62,63.81,60.63
277,Fizzy,Base Card,no_team,pt,sentinel,58.98,63.68,58.21,51.05,55.27,58.65
278,Obnoks,Base Card,no_team,de,controller,51.80,49.55,51.05,49.55,57.29,62.46
279,Sayonara,Base Card,no_team,md,flex,70.95,68.73,70.54,68.87,71.73,58.59
280,Foxie,Base Card,no_team,gb,flex,62.25,59.37,62.99,58.66,62.93,56.23
281,logaN,Base Card,no_team,fr,sentinel,60.08,66.99,56.36,51.03,54.74,57.92
282,lux9,Base Card,no_team,fr,duelist,72.02,62.88,67.86,65.89,58.41,44.64
283,f4ngeer,Base Card,no_team,ru,duelist,69.37,64.29,67.49,65.55,56.44,46.25
284,Yohpa,Base Card,no_team,fr,initiator,56.63,53.63,62.96,59.69,61.93,54.12
285,Sevire,Base Card,no_team,nl,flex,61.57,61.46,63.68,59.04,62.22,60.89
286,ease,Base Card,no_team,es,controller,51.62,49.60,51.50,49.60,57.88,64.83
287,soren,Base Card,no_team,fr,sentinel,65.97,70.83,62.06,50.92,58.47,62.36
288,PatMen,Masters Toronto 2025,prx,ph,initiator,83.57,81.49,94.19,89.63,93.05,92.94
289,Jinggg,Masters Toronto 2025,prx,sg,duelist,99.57,87.93,95.25,95.17,82.43,64.50
290,f0rsakeN,Masters Toronto 2025,prx,id,flex,99.13,90.75,100.68,91.17,95.33,96.34
291,d4v41,Masters Toronto 2025,prx,my,sentinel,94.94,107.29,91.75,74.87,89.72,81.57
292,something,Masters Toronto 2025,prx,ru,duelist,102.49,89.19,94.14,94.58,81.58,60.97
293,MOLSI,Base Card,no_team,pl,initiator,68.24,63.90,73.70,73.37,74.45,64.05
294,OLIZERA,Base Card,no_team,pt,sentinel,72.00,78.84,67.95,54.07,64.31,69.58
295,AvovA,Base Card,no_team,dk,controller,61.36,62.50,68.34,52.96,75.72,82.77
296,batujnax,Base Card,no_team,tr,flex,67.32,65.93,67.76,64.57,70.25,66.28
297,alexiiik,Base Card,no_team,cz,duelist,81.15,72.95,79.44,77.95,69.24,53.07
298,CoCo,Base Card,no_team,cn,flex,65.49,61.67,62.93,59.79,64.57,67.63
299,stew,Base Card,no_team,kr,duelist,79.31,71.05,75.80,74.44,64.92,73.11
